County,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Population,"Incidence per 100,000 person"
Alameda,5,3,3,6,1,2,2,4,0,1,1530176,0.17
Alpine,0,0,0,0,0,0,0,0,0,0,1088,0
Amador,0,1,2,0,0,1,0,0,1,0,37123,1.35
Butte,0,1,0,2,1,0,1,0,0,1,220263,0.23
Calaveras,0,0,0,0,0,0,0,0,0,0,45216,0
Colusa,0,0,0,0,0,0,0,0,0,0,21598,0
Contra Costa,4,1,0,1,0,1,1,4,5,2,1066602,0.16
Del Norte,0,0,0,0,0,0,0,0,0,0,28226,0
El Dorado,3,3,2,1,2,2,0,2,0,1,181711,0.83
Fresno,0,1,0,2,0,1,1,4,0,1,943493,0.1
Glenn,0,0,0,0,0,0,0,0,0,1,28122,0
Humboldt,11,5,6,6,4,8,5,4,4,4,134728,3.93
Imperial,0,0,0,0,0,0,0,0,0,0,179138,0
Inyo,0,1,0,0,0,0,0,0,0,0,18547,0.54
Kern,2,1,2,5,1,2,0,0,0,0,849977,0.15
Kings,0,0,0,0,1,0,0,0,1,0,151774,0.13
Lake,0,0,1,0,0,0,0,0,0,0,64412,0.16
Lassen,0,0,0,0,0,0,0,0,0,0,34040,0
Los Angeles,9,11,9,8,3,5,8,2,17,5,9889520,0.07
Madera,0,0,0,0,0,0,1,0,0,0,152325,0.07
Marin,3,7,3,2,1,3,1,3,5,5,253374,1.11
Mariposa,0,0,0,0,0,0,0,1,1,1,17952,1.11
Mendocino,0,0,5,10,6,6,3,4,0,1,87965,3.87
Merced,0,0,0,0,0,0,1,0,0,0,260029,0.04
Modoc,0,0,0,0,0,0,0,0,0,0,9550,0
Mono,0,0,0,0,0,1,0,0,1,0,14414,1.39
Monterey,0,0,0,0,0,1,1,1,1,0,419586,0.1
Napa,1,0,3,0,1,0,1,1,0,1,137731,0.51
Nevada,3,2,3,2,1,4,7,3,1,0,97366,2.67
Orange,1,2,1,1,0,5,6,0,0,0,3057879,0.05
Placer,2,3,0,1,2,0,1,2,1,0,355455,0.34
Plumas,0,0,0,0,0,0,0,0,0,1,19698,0
Riverside,4,0,0,1,4,0,4,0,2,1,2234193,0.07
Sacramento,5,3,2,0,1,0,1,1,0,0,2234193,0.06
San Benito,0,0,0,0,0,0,0,0,0,0,56137,0
San Bernardino,0,0,0,1,0,0,2,0,1,0,2059699,0.02
San Diego,8,9,5,3,8,6,8,7,8,7,3128734,0.2
San Francisco,7,5,4,4,1,2,1,2,4,0,816311,0.37
San Joaquin,0,0,0,0,0,0,0,1,0,1,692997,0.01
San Luis Obispo,1,0,0,1,0,0,0,1,4,3,271502,0.26
San Mateo,5,2,0,2,1,2,0,1,7,6,727795,0.27
Santa Barbara,0,0,2,2,0,1,3,0,6,0,426351,0.33
Santa Clara,2,9,2,0,2,7,10,4,13,5,1813696,0.27
Santa Cruz,0,6,5,1,4,6,9,5,5,5,265350,1.55
Shasta,2,0,0,0,0,1,1,1,0,1,178107,0.28
Sierra,0,0,0,0,0,0,0,1,0,0,3178,3.15
Siskiyou,0,0,0,0,0,0,0,1,1,0,44808,0.45
Solano,0,0,0,0,0,0,0,0,0,0,415787,0
Sonoma,8,8,8,10,9,6,6,12,7,10,487672,1.52
Stanislaus,1,0,0,1,1,0,0,0,0,0,519339,0.06
Sutter,0,0,0,0,0,0,0,0,0,0,95119,0
Tehama,0,0,0,0,0,0,0,0,0,0,63430,0
Trinity,2,0,1,0,0,0,2,1,0,1,13471,4.45
Tulare,0,0,1,0,0,0,0,1,0,0,451540,0.04
Tuolumne,1,1,0,0,0,0,0,0,0,0,54524,0.37
Ventura,1,0,4,2,0,1,0,2,2,0,829065,0.14
Yolo,0,1,1,0,0,0,0,1,1,0,204349,0.2
Yuba,0,0,0,0,1,0,0,2,0,0,72642,0.41
